ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,DonationSource,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
13055,"The YIMBY Initiative Ltd - £5,666.66",,2025-08-04,2025-08-04,,Donations and other support (including loans) for activities as an MP,5118,Chris Curtis,(b) Any other support not included in Category 2(a),In kind,"To cover the costs for a member of staff to work for the Labour Growth Group, which I Co-Chair",5666.66,2025-06-27,2025-06-30,2025-07-31,False,The YIMBY Initiative Ltd,"12 Old Bond Street, London W1S 4PW",Company,The YIMBY Initiative Ltd,,15872051,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13055,
13040,"David Sainsbury - £22,013.49",,2025-08-01,2025-08-01,,Donations and other support (including loans) for activities as an MP,5229,Joe Powell,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,for the services of a Campaign Organiser hired by Labour Party,22013.49,,,,True,David Sainsbury,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13040,
13043,"Daniel Luhde-Thompson - £10,000.00",,2025-08-01,2025-08-01,,Donations and other support (including loans) for activities as an MP,5267,Yuan Yang,(b) Any other support not included in Category 2(a),Monetary,Support for political activities,10000.00,2025-07-11,2025-07-11,,True,Daniel Luhde-Thompson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13043,
13035,"John Perry - £1,766.29",,2025-07-31,2025-07-31,,Donations and other support (including loans) for activities as an MP,5289,Harpreet Uppal,(b) Any other support not included in Category 2(a),Monetary,"14 train tickets covering trips to Westminster and Leeds, for participants of my week long summer for 18-24 year olds.",1766.29,2025-07-14,2025-07-14,,True,John Perry,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13035,
13027,"Daniel Luhde-Thompson - £10,000.00",,2025-07-29,2025-07-30,,Donations and other support (including loans) for activities as an MP,4595,Gareth Snell,(b) Any other support not included in Category 2(a),Monetary,,10000.00,2025-07-14,2025-07-14,,True,Daniel Luhde-Thompson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13027,
13022,"Richard Greer - £2,000.00",,2025-07-29,2025-07-30,,Donations and other support (including loans) for activities as an MP,5204,Sarah Sackman,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,2000.00,,,,True,Richard Greer,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13022,
13023,"Trevor Chinn - £1,250.00",,2025-07-29,2025-07-30,,Donations and other support (including loans) for activities as an MP,5204,Sarah Sackman,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,1250.00,,,,True,Trevor Chinn,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13023,
13024,"Michael Ashcroft - £7,500.00",,2025-07-29,2025-07-30,,Donations and other support (including loans) for activities as an MP,4484,Alan Mak,(b) Any other support not included in Category 2(a),Monetary,,7500.00,2025-07-28,2025-07-28,,True,Michael Ashcroft,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13024,
13015,Kirsty Hewens - £750.00,,2025-07-28,2025-07-28,,Donations and other support (including loans) for activities as an MP,5299,Monica Harding,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,General donations to the Elmbridge Liberal Democrats,750.00,,,,True,Kirsty Hewens,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13015,
12999,"James Moore - £6,000.00",,2025-07-25,2025-07-28,,Donations and other support (including loans) for activities as an MP,188,Ed Davey,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,6000.00,,,,True,James Moore,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12999,
13000,"Stuart Robb - £5,000.00",,2025-07-25,2025-07-28,,Donations and other support (including loans) for activities as an MP,188,Ed Davey,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,5000.00,,,,True,Stuart Robb,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13000,
13010,"Charles Max Keymer - £2,500.00",,2025-07-27,2025-07-28,,Donations and other support (including loans) for activities as an MP,4780,Laura Trott,(b) Any other support not included in Category 2(a),Monetary,,2500.00,2025-07-23,2025-07-23,,True,Charles Max Keymer,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13010,
13008,"Tritax Management LLP - £5,000.00",,2025-07-27,2025-07-28,,Donations and other support (including loans) for activities as an MP,5105,Jo White,(b) Any other support not included in Category 2(a),Monetary,The provision of my Parliamentary Summer School for children and young people from Bassetlaw.,5000.00,2025-07-16,2025-07-16,,True,Tritax Management LLP,"280 Bishopsgate, London EC2M 4AG",Limited Liability Partnership,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13008,
13007,"Lucy Greenwood - £5,000.00",,2025-07-25,2025-07-28,,Donations and other support (including loans) for activities as an MP,5263,Alex Brewer,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Monetary,,5000.00,,,,True,Lucy Greenwood,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13007,
